Text,Date
RT @realDonaldTrump: These Russian individuals did their work during the Obama years. Why didnt Obama do something about it?  Because he t,Sun Jul 15 13:33:15 +0000 2018
"These Russian individuals did their work during the Obama years. Why didnt Obama do something about it?  Because he thought Crooked Hillary Clinton would win, thats why. Had nothing to do with the Trump Administration, but Fake News doesnt want to report the truth, as usual!",Sat Jul 14 18:17:37 +0000 2018
Our prayers are with those affected by the flooding in Japan. We commend the rescue efforts and offer condolences to all who were injured or lost loved ones. https://t.co/AIgJMyT7qS,Sat Jul 14 12:44:05 +0000 2018
"So funny! I just checked out Fake News CNN, for the first time in a long time (they are dying in the ratings), to see if they covered my takedown yesterday of Jim Acosta (actually a nice guy). They didnt! But they did say I already lost in my meeting with Putin. Fake News......",Sat Jul 14 11:24:13 +0000 2018
"The stories you heard about the 12 Russians yesterday took place during the Obama Administration, not the Trump Administration. Why didnt they do something about it, especially when it was reported that President Obama was informed by the FBI in September, before the Election?",Sat Jul 14 10:08:23 +0000 2018
"I have arrived in Scotland and will be at Trump Turnberry for two days of meetings, calls and hopefully, some golf - my primary form of exercise! The weather is beautiful, and this place is incredible! Tomorrow I go to Helsinki for a Monday meeting with Vladimir Putin.",Sat Jul 14 09:43:04 +0000 2018
"RT @realDonaldTrump: ....On top of it all, Germany just started paying Russia, the country they want protection from, Billions of Dollars f",Sat Jul 14 09:17:24 +0000 2018
A very nice note from Chairman Kim of North Korea. Great progress being made! https://t.co/6NI6AqL0xt,Thu Jul 12 16:32:21 +0000 2018
"....On top of it all, Germany just started paying Russia, the country they want protection from, Billions of Dollars for their Energy needs coming out of a new pipeline from Russia. Not acceptable! All NATO Nations must meet their 2% commitment, and that must ultimately go to 4%!",Thu Jul 12 06:12:05 +0000 2018
"Presidents have been trying unsuccessfully for years to get Germany and other rich NATO Nations to pay more toward their protection from Russia. They pay only a fraction of their cost. The U.S. pays tens of Billions of Dollars too much to subsidize Europe, and loses Big on Trade!",Thu Jul 12 06:03:29 +0000 2018
"Billions of additional dollars are being spent by NATO countries since my visit last year, at my request, but it isnt nearly enough. U.S. spends too much. Europes borders are BAD! Pipeline dollars to Russia are not acceptable!",Wed Jul 11 23:33:33 +0000 2018
RT @realDonaldTrump: What good is NATO if Germany is paying Russia billions of dollars for gas and energy? Why are there only 5 out of 29 c,Wed Jul 11 21:11:54 +0000 2018
"RT @Scavino45: President @realDonaldTrump and President @EmmanuelMacron of France meeting earlier today at #NATOSummit2018 in Brussels, Bel",Wed Jul 11 21:11:36 +0000 2018
"RT @Scavino45: President @realDonaldTrump meets with Chancellor Angela Merkel of Germany, along with their respective delegations at #NATOS",Wed Jul 11 21:11:20 +0000 2018
"What good is NATO if Germany is paying Russia billions of dollars for gas and energy? Why are there only 5 out of 29 countries that have met their commitment? The U.S. is paying for Europes protection, then loses billions on Trade. Must pay 2% of GDP IMMEDIATELY, not by 2025.",Wed Jul 11 17:07:27 +0000 2018
Democrats in Congress must no longer Obstruct - vote to fix our terrible Immigration Laws now. I am watching what is going on from Europe - it would be soooo simple to fix. Judges run the system and illegals and traffickers know how it works. They are just using children!,Wed Jul 11 16:41:12 +0000 2018
"The European Union makes it impossible for our farmers and workers and companies to do business in Europe (U.S. has a $151 Billion trade deficit), and then they want us to happily defend them through NATO, and nicely pay for it. Just doesnt work!",Tue Jul 10 18:52:21 +0000 2018
Getting ready to leave for Europe. First meeting - NATO. The U.S. is spending many times more than any other country in order to protect them. Not fair to the U.S. taxpayer. On top of that we lose $151 Billion on Trade with the European Union. Charge us big Tariffs (&amp; Barriers)!,Tue Jul 10 09:35:05 +0000 2018
"Pfizer &amp; others should be ashamed that they have raised drug prices for no reason. They are merely taking advantage of the poor &amp; others unable to defend themselves, while at the same time giving bargain basement prices to other countries in Europe &amp; elsewhere. We will respond!",Mon Jul 09 17:08:29 +0000 2018
"I have confidence that Kim Jong Un will honor the contract we signed &amp;, even more importantly, our handshake. We agreed to the denuclearization of North Korea. China, on the other hand, may be exerting negative pressure on a deal because of our posture on Chinese Trade-Hope Not!",Mon Jul 09 14:25:06 +0000 2018
"...Europe far more than it does the U.S. By some accounts, the U.S. is paying for 90% of NATO, with many countries nowhere close to their 2% commitment. On top of this the European Union has a Trade Surplus of $151 Million with the U.S., with big Trade Barriers on U.S. goods. NO!",Mon Jul 09 12:04:02 +0000 2018
"The United States is spending far more on NATO than any other Country. This is not fair, nor is it acceptable. While these countries have been increasing their contributions since I took office, they must do much more. Germany is at 1%, the U.S. is at 4%, and NATO benefits.......",Mon Jul 09 11:55:01 +0000 2018
"Public opinion has turned strongly against the Rigged Witch Hunt and the Special Counsel because the public understands that there was no  Collusion with Russia (so ridiculous), that the two FBI lovers were a fraud against our Nation &amp; that the only Collusion was with the Dems!",Sat Jul 07 20:42:48 +0000 2018
"Just won lawsuit filed by the DNC and a bunch of Democrat crazies trying to claim the Trump Campaign (and others), colluded with Russia. They havent figured out that this was an excuse for them losing the election!",Fri Jul 06 16:57:34 +0000 2018
"Many good conversations with North Korea-it is going well! In the meantime, no Rocket Launches or Nuclear Testing in 8 months. All of Asia is thrilled. Only the Opposition Party, which includes the Fake News, is complaining. If not for me, we would now be at War with North Korea!",Tue Jul 03 11:16:18 +0000 2018
"Russia continues to say they had nothing to do with Meddling in our Election! Where is the DNC Server, and why didnt Shady James Comey and the now disgraced FBI agents take and closely examine it? Why isnt Hillary/Russia being looked at? So many questions, so much corruption!",Thu Jun 28 11:25:15 +0000 2018
"....When I had Harley-Davidson officials over to the White House, I chided them about tariffs in other countries, like India, being too high. Companies are now coming back to America. Harley must know that they wont be able to sell back into U.S. without paying a big tax!",Tue Jun 26 11:37:51 +0000 2018
"Major Wall Street Journal opinion piece today talking about the Russian Witch Hunt and the disgrace that it is. So many people hurt, so bad for our country - a total sham!
https://t.co/bcpSGtoX6a",Sun Jun 24 01:43:41 +0000 2018
The Russian Witch Hunt is Rigged!,Sat Jun 23 11:36:35 +0000 2018
".@FoxNews  Poll numbers plummet on the Democrat inspired and paid for Russian Witch Hunt. With all of the bias, lying and hate by the investigators, people want the investigators investigated. Much more will come out. A total scam and excuse for the Dems losing the Election!",Sat Jun 23 11:33:01 +0000 2018
"Based on the Tariffs and Trade Barriers long placed on the U.S. &amp; its great companies and workers by the European Union, if these Tariffs and Barriers are not soon broken down and removed, we will be placing a 20% Tariff on all of their cars coming into the U.S. Build them here!",Sat Jun 23 00:34:33 +0000 2018
Had a great meeting with the House GOP last night at the Capitol. They applauded and laughed loudly when I mentioned my experience with Mark Sanford. I have never been a fan of his!,Wed Jun 20 20:04:45 +0000 2018
RT @EricTrump: It is hard to believe that the historic North Korea / Kim Jong Un summit was exactly one week ago. Truly amazing to see the,Wed Jun 20 13:43:05 +0000 2018
Crime in Germany is up 10% plus (officials do not want to report these crimes) since migrants were accepted. Others countries are even worse. Be smart America!,Tue Jun 19 13:52:07 +0000 2018
"If President Obama (who got nowhere with North Korea and would have had to go to war with many millions of people being killed) had gotten along with North Korea and made the initial steps toward a deal that I have, the Fake News would have named him a national hero!",Mon Jun 18 14:57:40 +0000 2018
We dont want what is happening with immigration in Europe to happen with us!,Mon Jun 18 13:04:28 +0000 2018
The people of Germany are turning against their leadership as migration is rocking the already tenuous Berlin coalition. Crime in Germany is way up. Big mistake made all over Europe in allowing millions of people in who have so strongly and violently changed their culture!,Mon Jun 18 13:02:43 +0000 2018
"WITCH HUNT! There was no Russian Collusion. Oh, I see, there was no Russian Collusion, so now they look for obstruction on the no Russian Collusion. The phony Russian Collusion was a made up Hoax. Too bad they didnt look at Crooked Hillary like this. Double Standard!",Sun Jun 17 14:54:53 +0000 2018
"The denuclearization deal with North Korea is being praised and celebrated all over Asia. They are so happy! Over here, in our country, some people would rather see this historic deal fail than give Trump a win, even if it does save potentially millions &amp; millions of lives!",Sun Jun 17 13:01:06 +0000 2018
"Funny how the Fake News, in a coordinated effort with each other, likes to say I gave sooo much to North Korea because I met. Thats because thats all they have to disparage! We got so much for peace in the world, &amp; more is being added in finals. Even got our hostages/remains!",Sun Jun 17 12:40:02 +0000 2018
Great discussions with European Union Commission President Jean-Claude Juncker and EU Council President Donald Tusk at the #G7Summit in Canada last week. https://t.co/kGxXe50459,Fri Jun 15 22:32:18 +0000 2018
"The Fake News Media said that I did not get along with other Leaders at the #G7Summit in Canada. They are once again, WRONG! https://t.co/I6eEKEZV6z",Fri Jun 15 22:23:44 +0000 2018
"I have a great relationship with Angela Merkel of Germany, but the Fake News Media only shows the bad photos (implying anger) of negotiating an agreement - where I am asking for things that no other American President would ask for! https://t.co/Ib97nN5HZt",Fri Jun 15 22:03:07 +0000 2018
"Thank you for all of the compliments on getting the World Cup to come to the U.S.A., Mexico and Canada. I worked hard on this, along with a Great Team of talented people. We never fail, and it will be a great World Cup! A special thanks to Bob Kraft for excellent advice.",Fri Jun 15 11:06:28 +0000 2018
"FBI Agent Peter Strzok, who headed the Clinton &amp; Russia investigations, texted to his lover Lisa Page, in the IG Report, that well stop candidate Trump from becoming President. Doesnt get any lower than that!",Fri Jun 15 10:35:14 +0000 2018
"So, the Democrats make up a phony crime, Collusion with the Russians, pay a fortune to make the crime sound real, illegally leak (Comey) classified information so that a Special Councel will be appointed, and then Collude to make this pile of garbage take on life in Fake News!",Thu Jun 14 15:08:51 +0000 2018
"Now that I am back from Singapore, where we had a great result with respect to North Korea, the thought process must sadly go back to the Witch Hunt, always remembering that there was No Collusion and No Obstruction of the fabricated No Crime.",Thu Jun 14 15:08:44 +0000 2018
The Republican Party is starting to show very big numbers. People are starting to see what is being done. Results are speaking loudly. North Korea and our greatest ever economy are leading the way!,Thu Jun 14 12:34:25 +0000 2018
"So funny to watch the Fake News, especially NBC and CNN. They are fighting hard to downplay the deal with North Korea. 500 days ago they would have begged for this deal-looked like war would break out. Our Countrys biggest enemy is the Fake News so easily promulgated by fools!",Wed Jun 13 13:30:49 +0000 2018
"The U.S., together with Mexico and Canada, just got the World Cup. Congratulations - a great deal of hard work!",Wed Jun 13 11:49:16 +0000 2018
Before taking office people were assuming that we were going to War with North Korea. President Obama said that North Korea was our biggest and most dangerous problem. No longer - sleep well tonight!,Wed Jun 13 10:01:40 +0000 2018
"Just landed - a long trip, but everybody can now feel much safer than the day I took office. There is no longer a Nuclear Threat from North Korea. Meeting with Kim Jong Un was an interesting and very positive experience. North Korea has great potential for the future!",Wed Jun 13 09:56:57 +0000 2018
"My political representatives didnt want me to get involved in the Mark Sanford primary thinking that Sanford would easily win - but with a few hours left I felt that Katie was such a good candidate, and Sanford was so bad, I had to give it a shot. Congrats to Katie Arrington!",Wed Jun 13 09:37:03 +0000 2018
"A year ago the pundits &amp; talking heads, people that couldnt do the job before, were begging for conciliation and peace - please meet, dont go to war. Now that we meet and have a great relationship with Kim Jong Un, the same haters shout out, you shouldnt meet, do not meet!",Wed Jun 13 01:14:14 +0000 2018
"The World has taken a big step back from potential Nuclear catastrophe! No more rocket launches, nuclear testing or research! The hostages are back home with their families. Thank you to Chairman Kim, our day together was historic!",Wed Jun 13 00:27:36 +0000 2018
I want to thank Chairman Kim for taking the first bold step toward a bright new future for his people. Our unprecedented meeting  the first between an American President and a leader of North Korea  proves that real change is possible! https://t.co/yF3iwD23YQ,Wed Jun 13 00:11:43 +0000 2018
There is no limit to what NoKo can achieve when it gives up its nuclear weapons and embraces commerce &amp; engagement w/ the world. Chairman Kim has before him the opportunity to be remembered as the leader who ushered in a glorious new era of security &amp; prosperity for his citizens! https://t.co/Xbup4Zyz33,Wed Jun 13 00:02:14 +0000 2018
"Here is the video, A Story of Opportunity that I shared with Kim Jong-un at the #SingaporeSummit
https://t.co/43oOci4jvo https://t.co/xBKFkDLtj7",Tue Jun 12 21:23:18 +0000 2018
"...Got along great with Kim Jong-un who wants to see wonderful things for his country. As I said earlier today: Anyone can make war, but only the most courageous can make peace! #SingaporeSummit",Tue Jun 12 20:40:28 +0000 2018
"Heading back home from Singapore after a truly amazing visit. Great progress was made on the denuclearization of North Korea. Hostages are back home, will be getting the remains of our great heroes back to their families, no missiles shot, no research happening, sites closing...",Tue Jun 12 20:40:26 +0000 2018
"Mark Sanford has been very unhelpful to me in my campaign to MAGA. He is MIA and nothing but trouble. He is better off in Argentina. I fully endorse Katie Arrington for Congress in SC, a state I love. She is tough on crime and will continue our fight to lower taxes. VOTE Katie!",Tue Jun 12 20:12:43 +0000 2018
"Great to be in Singapore, excitement in the air!",Mon Jun 11 01:45:11 +0000 2018
"....Germany pays 1% (slowly) of GDP towards NATO, while we pay 4% of a MUCH larger GDP. Does anybody believe that makes sense? We protect Europe (which is good) at great financial loss, and then get unfairly clobbered on Trade. Change is coming!",Mon Jun 11 01:42:35 +0000 2018
....And add to that the fact that the U.S. pays close to the entire cost of NATO-protecting many of these same countries that rip us off on Trade (they pay only a fraction of the cost-and laugh!). The European Union had a $151 Billion Surplus-should pay much more for Military!,Mon Jun 11 01:29:29 +0000 2018
"Fair Trade is now to be called Fool Trade if it is not Reciprocal. According to a Canada release, they make almost 100 Billion Dollars in Trade with U.S. (guess they were bragging and got caught!). Minimum is 17B. Tax Dairy from us at 270%. Then Justin acts hurt when called out!",Mon Jun 11 01:05:07 +0000 2018
"RT @Scavino45: President @realDonaldTrump and the Prime Minister of Italy, @GiuseppeConteIT at the #G7Summit in Canada... https://t.co/lju3",Mon Jun 11 00:54:44 +0000 2018
"PM Justin Trudeau of Canada acted so meek and mild during our @G7 meetings only to give a news conference after I left saying that, US Tariffs were kind of insulting and he will not be pushed around. Very dishonest &amp; weak. Our Tariffs are in response to his of 270% on dairy!",Sat Jun 09 23:04:54 +0000 2018
"Based on Justins false statements at his news conference, and the fact that Canada is charging massive Tariffs to our U.S. farmers, workers and companies, I have instructed our U.S. Reps not to endorse the Communique as we look at Tariffs on automobiles flooding the U.S. Market!",Sat Jun 09 23:03:16 +0000 2018
I am on my way to Singapore where we have a chance to achieve a truly wonderful result for North Korea and the World. It will certainly be an exciting day and I know that Kim Jong-un will work very hard to do something that has rarely been done before...,Sat Jun 09 20:58:14 +0000 2018
Just left the @G7 Summit in beautiful Canada. Great meetings and relationships with the six Country Leaders especially since they know I cannot allow them to apply large Tariffs and strong barriers to...,Sat Jun 09 20:56:33 +0000 2018
"Just met the new Prime Minister of Italy, @GiuseppeConteIT, a really great guy. He will be honored in Washington, at the @WhiteHouse, shortly. He will do a great job - the people of Italy got it right!",Sat Jun 09 20:43:08 +0000 2018
".@G7 Press Briefing in Charlevoix, Canada, prior to departing for Singapore! https://t.co/75y1SXuwuU",Sat Jun 09 16:00:25 +0000 2018
I am heading for Canada and the G-7 for talks that will mostly center on the long time unfair trade practiced against the United States. From there I go to Singapore and talks with North Korea on Denuclearization. Wont be talking about the Russian Witch Hunt Hoax for a while!,Fri Jun 08 11:22:44 +0000 2018
"Canada charges the U.S. a 270%  tariff on Dairy Products! They didnt tell you that, did they? Not fair to our farmers!",Fri Jun 08 10:16:39 +0000 2018
"Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we dont need his advice!",Fri Jun 08 10:06:20 +0000 2018
"Why isnt the European Union and Canada informing the public that for years they have used massive Trade Tariffs and non-monetary Trade Barriers against the U.S. Totally unfair to our farmers, workers &amp; companies. Take down your tariffs &amp; barriers or we will more than match you!",Fri Jun 08 02:15:37 +0000 2018
"Prime Minister Trudeau is being so indignant, bringing up the relationship that the U.S. and Canada had over the many years and all sorts of other things...but he doesnt bring up the fact that they charge us up to 300% on dairy  hurting our Farmers, killing our Agriculture!",Thu Jun 07 23:44:47 +0000 2018
"Please tell Prime Minister Trudeau and President Macron that they are charging the U.S. massive tariffs and create non-monetary barriers. The EU trade surplus with the U.S. is $151 Billion, and Canada keeps our farmers and others out. Look forward to seeing them tomorrow.",Thu Jun 07 22:04:04 +0000 2018
Great day of meetings with Prime Minister @AbeShinzo of Japan! https://t.co/uKcdA8RxoN,Thu Jun 07 20:02:08 +0000 2018
"PM Abe and I are also working to improve the trading relationship between the U.S. and Japan, something we have to do. The U.S. seeks a bilateral deal with Japan that is based on the principle of fairness and reciprocity. Were working hard to reduce our trade imbalance... https://t.co/pnqEHoplk0",Thu Jun 07 19:55:47 +0000 2018
"Today, I am greatly honored to welcome my good friend, PM Abe of Japan to the @WhiteHouse. Over the past 16 months the Prime Minister and I have worked closely together to address common challenges, of which there are many... https://t.co/sNlmdd6fgm",Thu Jun 07 19:51:41 +0000 2018
Its my great honor to welcome Prime Minister @AbeShinzo back to the @WhiteHouse! https://t.co/6yCxud2jAN,Thu Jun 07 17:20:41 +0000 2018
Looking forward to seeing my friend Prime Minister @AbeShinzo of Japan at noon. Will be discussing North Korea and Trade.,Thu Jun 07 14:01:01 +0000 2018
"Isnt it Ironic? Getting ready to go to the G-7 in Canada to fight for our country on Trade (we have the worst trade deals ever made), then off to Singapore to meet with North Korea &amp; the Nuclear Problem...But back home we still have the 13 Angry Democrats pushing the Witch Hunt!",Thu Jun 07 11:57:03 +0000 2018
Meeting in Singapore with North Korea will hopefully be the start of something big...we will soon see!,Tue Jun 05 11:34:04 +0000 2018
"The Russian Witch Hunt Hoax continues, all because Jeff Sessions didnt tell me he was going to recuse himself...I would have quickly picked someone else. So much time and money wasted, so many lives ruined...and Sessions knew better than most that there was No Collusion!",Tue Jun 05 11:31:47 +0000 2018
The Fake News Media is desperate to distract from the economy and record setting economic numbers and so they keep talking about the phony Russian Witch Hunt.,Mon Jun 04 20:41:55 +0000 2018
"Farmers have not been doing well for 15 years. Mexico, Canada, China and others have treated them unfairly. By the time I finish trade talks, that will change. Big trade barriers against U.S. farmers, and other businesses, will finally be broken. Massive trade deficits no longer!",Mon Jun 04 13:47:43 +0000 2018
China already charges a tax of 16% on soybeans. Canada has all sorts of trade barriers on our Agricultural products. Not acceptable!,Mon Jun 04 12:41:47 +0000 2018
There was No Collusion with Russia (except by the Democrats). When will this very expensive Witch Hunt Hoax ever end? So bad for our Country. Is the Special Counsel/Justice Department leaking my lawyers letters to the Fake News Media? Should be looking at Dems corruption instead?,Sat Jun 02 17:43:07 +0000 2018
Very surprised that China would be doing this? https://t.co/D03kV07dF7,Sat Jun 02 16:35:14 +0000 2018
"....$17 million spent, its a scam Investigation. Americans are being worked. We now know there was Russian collusion, with Russians and the Democrats. The Mueller team is stacked with anti-Trumpers, who actually represented Clinton people (&amp; gave $s to Crooked H). Dan Bongino",Sat Jun 02 12:40:48 +0000 2018
Canada has treated our Agricultural business and Farmers very poorly for a very long period of time. Highly restrictive on Trade! They must open their markets and take down their trade barriers! They report a really high surplus on trade with us. Do Timber &amp; Lumber in U.S.?,Fri Jun 01 13:18:21 +0000 2018
"A.P. has just reported that the Russian Hoax Investigation has now cost our government over $17 million, and going up fast. No Collusion, except by the Democrats!",Fri Jun 01 11:05:16 +0000 2018
RT @SecPompeo: The proposed summit offers a historic opening for @POTUS and Chairman Kim to boldly lead U.S. and #DPRK into a new era of pe,Thu May 31 21:15:36 +0000 2018
Very good meetings with North Korea.,Thu May 31 13:15:28 +0000 2018
"Not that it matters but I never fired James Comey because of Russia! The Corrupt Mainstream Media loves to keep pushing that narrative, but they know it is not true!",Thu May 31 12:11:01 +0000 2018
"RUSH LIMBAUGH  If the FBI was so concerned, and if they werent targeting Trump, they should have told Trump. If they were really concerned about the Russians infiltrating a campaign (hoax), then why not try to stop it? Why not tell Trump? Because they were pushing this scam.",Thu May 31 10:55:14 +0000 2018
"The soon to be released book, The Russia Hoax, The Illicit Scheme To Clear Hillary Clinton And Frame Donald Trump, written by Gregg Jarrett, looks like a real deal big hit. The Phony Witch Hunt will be opened up for the world to see! Out in 5 weeks.",Thu May 31 03:06:28 +0000 2018
"Sorry, Ive got to start focusing my energy on North Korea Nuclear, bad Trade Deals, VA Choice, the Economy, rebuilding the Military, and so much more, and not on the Rigged Russia Witch Hunt that should be investigating Clinton/Russia/FBI/Justice/Obama/Comey/Lynch etc.",Tue May 29 11:27:07 +0000 2018
"The 13 Angry Democrats (plus people who worked 8 years for Obama) working on the rigged Russia Witch Hunt, will be MEDDLING with the mid-term elections, especially now that Republicans (stay tough!) are taking the lead in Polls. There was no Collusion, except by the Democrats!",Tue May 29 11:00:02 +0000 2018
"We have put a great team together for our talks with North Korea. Meetings are currently taking place concerning Summit, and more. Kim Young Chol, the Vice Chairman of North Korea, heading now to New York. Solid response to my letter, thank you!",Tue May 29 10:30:32 +0000 2018
"Why didnt President Obama do something about the so-called Russian Meddling when he was told about it by the FBI before the Election? Because he thought Crooked Hillary was going to win, and he didnt want to upset the apple cart! He was in charge, not me, and did nothing.",Sun May 27 20:32:33 +0000 2018
Our United States team has arrived in North Korea to make arrangements for the Summit between Kim Jong Un and myself. I truly believe North Korea has brilliant potential and will be a great economic and financial Nation one day. Kim Jong Un agrees with me on this. It will happen!,Sun May 27 20:09:12 +0000 2018
"Why didnt the 13 Angry Democrats investigate the campaign of Crooked Hillary Clinton, many crimes, much Collusion with Russia? Why didnt the FBI take the Server from the DNC?  Rigged Investigation!",Sun May 27 14:13:24 +0000 2018
"Whos going to give back the young and beautiful lives (and others) that have been devastated and destroyed by the phony Russia Collusion Witch Hunt? They journeyed down to Washington, D.C., with stars in their eyes and wanting to help our nation...They went back home in tatters!",Sun May 27 12:41:24 +0000 2018
"When will the 13 Angry Democrats (&amp; those who worked for President O), reveal their disqualifying Conflicts of Interest? Its been a long time now! Will they be indelibly written into the Report along with the fact that the only Collusion is with the Dems, Justice, FBI &amp; Russia?",Sat May 26 19:56:52 +0000 2018
"This whole Russia Probe is Rigged. Just an excuse as to why the Dems and Crooked Hillary lost the Election and States that havent been lost in decades. 13 Angry Democrats, and all Dems if you include the people who worked for Obama for 8 years. #SPYGATE &amp; CONFLICTS OF INTEREST!",Sat May 26 19:41:50 +0000 2018
